"","Time","P"
"74456",2011-09-16 12:35:00,0.0416666666666667
"74457",2011-09-16 12:40:00,0.0583333333333333
"74458",2011-09-16 12:45:00,0.0583333333333333
"74459",2011-09-16 12:50:00,0.366666666666667
"74460",2011-09-16 12:55:00,0.125
"74461",2011-09-16 13:00:00,0.166666666666667
"74462",2011-09-16 13:05:00,0.258333333333333
"74463",2011-09-16 13:10:00,0.391666666666667
"74464",2011-09-16 13:15:00,0.483333333333333
"74465",2011-09-16 13:20:00,0.766666666666667
"74466",2011-09-16 13:25:00,1.08333333333333
"74467",2011-09-16 13:30:00,0.208333333333333
"74468",2011-09-16 13:35:00,0.183333333333333
"74469",2011-09-16 13:40:00,0.0583333333333333
"74470",2011-09-16 13:45:00,0.0166666666666667
"74471",2011-09-16 13:50:00,0.0916666666666667
"74472",2011-09-16 13:55:00,0.0583333333333333
"74473",2011-09-16 14:00:00,0.0583333333333333
"74474",2011-09-16 14:05:00,0
"74475",2011-09-16 14:10:00,0
"74476",2011-09-16 14:15:00,0
"74477",2011-09-16 14:20:00,0
"74478",2011-09-16 14:25:00,0
"74479",2011-09-16 14:30:00,0
"74480",2011-09-16 14:35:00,0
"74481",2011-09-16 14:40:00,0
"74482",2011-09-16 14:45:00,0
"74483",2011-09-16 14:50:00,0
"74484",2011-09-16 14:55:00,0
"74485",2011-09-16 15:00:00,0
"74486",2011-09-16 15:05:00,0
"74487",2011-09-16 15:10:00,0
"74488",2011-09-16 15:15:00,0
"74489",2011-09-16 15:20:00,0
"74490",2011-09-16 15:25:00,0
"74491",2011-09-16 15:30:00,0
"74492",2011-09-16 15:35:00,0
